#WRname  iseg  wellnum  welllay  wellrow  wellcol  startyr  dpt  swu  swufrac   pctsup  swfrfrac  swfr  welleff  realwell  wryr  source  desc  row  col  acres
            089           1081              57               4             100              58            1928  .007409796    .046031663   .775766094740     .14824748421     .8855438842100  .1491027158  .683684052630      APP-69538     1895    AllermanCanal    acres=163.27    108    67    163.27
            090            929              58               4             103              68            1965  2.66910E-4    .019954985   .876696894740     .16723031579     .7891093473700  .4228061895  .107189904210      APP-53869     1877    AllermanCanal    acres=19.99    105    64    19.99
            091           1082              59               4             100              58            1928  .164713968    .064993939   .866478821050     .02301528105     .9980508736800  .0799040200  .016988142105      APP-69537     1895    AllermanCanal    acres=706.8    98    66    706.8
            091           1082              60               4             114              65            1947  .164713968    .064993939   .866478821050     .04473569053     .9980508736800  .0799040200  .080079938947      APP-55336     1895    AllermanCanal    acres=706.8    98    66    706.8
            091           1082              61               4             114              65            1947  .164713968    .064993939   .866478821050     .04718268737     .9980508736800  .0799040200  1.09213831580      APP-55356     1895    AllermanCanal    acres=706.8    98    66    706.8
            091           1082              62               4             100              58            1928  .164713968    .064993939   .866478821050     .04015987579     .9980508736800  .0799040200  1.00000000000      APP-69538     1895    AllermanCanal    acres=706.8    98    66    706.8
            092           1083              63               4             103              68            1965  .003331694    .039576139   .792362063160     .08939344632     .8876192736800  .5861888947  .206477021050      APP-53869     1895    HaybourneDitch    acres=220.16    94    54    220.16
            092           1083              64               3              93              45            1960  .003331694    .039576139   .792362063160     .02325844421     .8876192736800  .5861888947  1.02461125260     APP-85285T     1895    HaybourneDitch    acres=220.16    94    54    220.16
            092           1083              65               4             101              75            1860  .003331694    .039576139   .792362063160     .06543694211     .8876192736800  .5861888947  .311773568420   APP-55356A01     1895    HaybourneDitch    acres=220.16    94    54    220.16
            092           1083              66               4             114              65            1947  .003331694    .039576139   .792362063160     .03307087368     .8876192736800  .5861888947  1.05756905260      APP-55356     1895    HaybourneDitch    acres=220.16    94    54    220.16
            093            930              67               4             114              65            1947  .027688377    .026975086   .811120968420     .14626168421     .7484518210500  .6541924421  .994321410530      APP-55336     1877    PolelineDitch    acres=425.2    102    51    425.2
            093            930              68               4             114              65            1947  .027688377    .026975086   .811120968420     .12995846316     .7484518210500  .6541924421  .192019073680      APP-55356     1877    PolelineDitch    acres=425.2    102    51    425.2
            093            930              69               4             100              58            1928  .027688377    .026975086   .811120968420     .06213734000     .7484518210500  .6541924421  .671139642110      APP-69538     1877    PolelineDitch    acres=425.2    102    51    425.2
            093            930              70               4             100              58            1928  .027688377    .026975086   .811120968420     .04602950105     .7484518210500  .6541924421  .995181484210      APP-69537     1877    PolelineDitch    acres=425.2    102    51    425.2
            094            773              71               4             114              65            1947  .020329441    .028083339   .852113768420     .07505213474     .8085919263200  .4328605474  .438873073680      APP-55336     1862    PolelineDitch    acres=80.06    106    52    80.06
            094            773              72               4             114              65            1947  .020329441    .028083339   .852113768420     .04779413895     .8085919263200  .4328605474  .097526378947      APP-55356     1862    PolelineDitch    acres=80.06    106    52    80.06
            094            773              73               4             100              58            1928  .020329441    .028083339   .852113768420     .13532969474     .8085919263200  .4328605474  .599049652630      APP-69538     1862    PolelineDitch    acres=80.06    106    52    80.06
            094            773              74               4             100              58            1928  .020329441    .028083339   .852113768420     .02591101158     .8085919263200  .4328605474  .957862684210      APP-69537     1862    PolelineDitch    acres=80.06    106    52    80.06
            095            831              75               3              93              45            1974  .067720764    .012571312   .740157936840     .12480941053     .9478705368400  .4099442737  .256889557890      APP-74606     1865    PolelineDitch    acres=762.75    94    40    762.75
            095            831              76               3              93              45            1973  .067720764    .012571312   .740157936840     .02709704000     .9478705368400  .4099442737  .138763115790      APP-74604     1865    PolelineDitch    acres=762.75    94    40    762.75
            095            831              77               4             114              65            1947  .067720764    .012571312   .740157936840     .02798256737     .9478705368400  .4099442737  .987588252630      APP-55356     1865    PolelineDitch    acres=762.75    94    40    762.75
            095            831              78               3              93              45            1973  .067720764    .012571312   .740157936840     .15269816842     .9478705368400  .4099442737  .010000000000      APP-74602     1865    PolelineDitch    acres=762.75    94    40    762.75
            095            831              79               3              93              45            1973  .067720764    .012571312   .740157936840     .02278933895     .9478705368400  .4099442737  .126024684210      APP-74603     1865    PolelineDitch    acres=762.75    94    40    762.75
            095            831              80               3              93              45            1956  .067720764    .012571312   .740157936840     .06810169579     .9478705368400  .4099442737  .585927852630      APP-74601     1865    PolelineDitch    acres=762.75    94    40    762.75
            095            831              81               3              93              45            2014  .067720764    .012571312   .740157936840     .03880405895     .9478705368400  .4099442737  .367037031580      APP-75243     1865    PolelineDitch    acres=762.75    94    40    762.75
            095            831              82               3              93              45            2014  .067720764    .012571312   .740157936840     .12634115789     .9478705368400  .4099442737  .486940789470      APP-75242     1865    PolelineDitch    acres=762.75    94    40    762.75
            095            831              83               4             101              75            1860  .067720764    .012571312   .740157936840     .06075650105     .9478705368400  .4099442737  .201973757890   APP-55356A01     1865    PolelineDitch    acres=762.75    94    40    762.75
            095            831              84               3              93              45            1973  .067720764    .012571312   .740157936840     .02068467158     .9478705368400  .4099442737  .125837231580      APP-74605     1865    PolelineDitch    acres=762.75    94    40    762.75
            095            831              85               3              98              39            1860  .067720764    .012571312   .740157936840     .38513146316     .9478705368400  .4099442737  .666409536840     APP-84862T     1865    PolelineDitch    acres=762.75    94    40    762.75
            095            831              86               3              93              45            1964  .067720764    .012571312   .740157936840     .16656411579     .9478705368400  .4099442737  .090479885263      APP-74607     1865    PolelineDitch    acres=762.75    94    40    762.75
            096            853              87               4             100              58            1928  .070407986    .030963999   .819936252630     .03183961053     .8198794842100  .3963182842  .485017315790      APP-69537     1866    VirginiaDitch    acres=37.97    110    51    37.97
            096            853              88               4             100              58            1928  .070407986    .030963999   .819936252630     .06100473053     .8198794842100  .3963182842  .052945305263      APP-69538     1866    VirginiaDitch    acres=37.97    110    51    37.97
            096            853              89               4             114              65            1947  .070407986    .030963999   .819936252630     .28361882105     .8198794842100  .3963182842  .358174221050      APP-55336     1866    VirginiaDitch    acres=37.97    110    51    37.97
            097           1071              90               4             114              65            1947  .005172256    .015683074   .831411821050     .09095884105     .8509660842100  .6808853790  .388263136840      APP-55356     1894    EastDitch    acres=529.85    85    39    529.85
            097           1071              91               3              93              45            2014  .005172256    .015683074   .831411821050     .08852696947     .8509660842100  .6808853790  1.03807905260      APP-75243     1894    EastDitch    acres=529.85    85    39    529.85
            097           1071              92               3              93              45            2014  .005172256    .015683074   .831411821050     .09823422316     .8509660842100  .6808853790  .320568557890      APP-75242     1894    EastDitch    acres=529.85    85    39    529.85
            097           1071              93               3              93              45            1960  .005172256    .015683074   .831411821050     .16438082105     .8509660842100  .6808853790  .055999447368     APP-85285T     1894    EastDitch    acres=529.85    85    39    529.85
            097           1071              94               3              98              39            1860  .005172256    .015683074   .831411821050     .03518547895     .8509660842100  .6808853790  .310895968420     APP-84862T     1894    EastDitch    acres=529.85    85    39    529.85
            098           1084              95               4             103              68            1965  4.40528E-6    .079184827   .799100315790     .03315698211     .9233984210500  .3500232842  .149555968420      APP-53869     1895    AllermanCanal    acres=21.01    104    68    21.01
            099            931              96               4             100              58            1928  .164766379    .062507438   .774774842110     .04941520526     1.015528736800  .1100157137  .598875294740      APP-69537     1877    VirginiaDitch    acres=3.04    111    51    3.04
            099            931              97               4             100              58            1928  .164766379    .062507438   .774774842110     .05368509789     1.015528736800  .1100157137  .540914957890      APP-69538     1877    VirginiaDitch    acres=3.04    111    51    3.04
            099            931              98               4             114              65            1947  .164766379    .062507438   .774774842110     .09882715368     1.015528736800  .1100157137  .944515915790      APP-55336     1877    VirginiaDitch    acres=3.04    111    51    3.04
            100           1085              99               3              93              45            1960  3.18877E-5    .031416162   .778291642110     .19757670526     .9106957473700  .0711813674  .542342105260     APP-85285T     1895    HaybourneDitch    acres=356.97    55    48    356.97
            100           1085             100               4             101              75            1860  3.18877E-5    .031416162   .778291642110     .221611589470     .9106957473700  .0711813674  .1593757263200   APP-55356A01     1895    HaybourneDitch    acres=356.97    55    48    356.97
            100           1085             101               4             114              65            1947  3.18877E-5    .031416162   .778291642110     .089567425263     .9106957473700  .0711813674  1.099469894700      APP-55356     1895    HaybourneDitch    acres=356.97    55    48    356.97
            101           1086             102               3              85              49            1963  .004942997    .099786261   .790929957890     .157214400000     .8662118000000  .0100103484  .1629661052600      APP-21507     1895    HaybourneDitch    acres=77.97    83    46    77.97
            102           1087             103               3              82              49            1930  .019309760    .049647849   .900276105260     .170871589470     .7641304000000  .0665435547  1.099920947400      APP-09244     1895    HaybourneDitch    acres=225.91    79    45    225.91
           103A           1072              NA              NA              NA              NA              NA  .0023891856    .0048744705   .8909959368400                 NA     .85182697895000  .86009805263              NA             NA      1894    HaybourneDitch    acres=11.5    80    41    11.5
            104           1088             104               3              77              49            1928  9.62481E-5    .020938261   .780280810530     .958518168420     .8515944526300  .4121013789  .2590739789500      APP-08494     1895    HaybourneDitch    acres=157.95    75    47    157.95
            104           1088             105               3              77              49            1974  9.62481E-5    .020938261   .780280810530     .017737986316     .8515944526300  .4121013789  .2409270105300      APP-30232     1895    HaybourneDitch    acres=157.95    75    47    157.95
            105           1089             106               3              75              42            1955  .002924586    .058829565   .828301757890     .837943378950     .8908385052600  .1275780842  .1833924105300      APP-16719     1895    HaybourneDitch    acres=77.31    72    41    77.31
            106           1090              NA              NA              NA              NA              NA  .046527459    .038661496   .772718084210                 NA     .8740207157900  .7640161579              NA             NA      1895    HaybourneDitch    acres=78.96    71    47    78.96
            107           1091             107               3              78              44            1963  1.55485E-4    .013432594   .836753210530     1.26852800000     .9127996210500  .5706419684  .6410138000000      APP-21112     1895    HaybourneDitch    acres=158.04    74    43    158.04
            109           1092             108               3              78              44            1963  .008076466    .025527085   .819264536840     1.93142031580     .7652283473700  .4420493368  .0714264663160      APP-21112     1895    HaybourneDitch    acres=79.59    67    43    79.59
            111           1093             109               3              78              49            1955  .009996614    .035941496   .880512715790     .119411284210     .8029076105300  .1238230737  .1007670168400      APP-81360     1895    HaybourneDitch    acres=81.14    67    41    81.14
            111           1093             110               3              75              42            1955  .009996614    .035941496   .880512715790     .312260884210     .8029076105300  .1238230737  .5920254000000      APP-16719     1895    HaybourneDitch    acres=81.14    67    41    81.14
            113           1094              NA              NA              NA              NA              NA  6.60230E-4    .038249200   .786148189470                 NA     .9003290105300  .3600965474              NA             NA      1895    HaybourneDitch    acres=40.13    69    46    40.13
            114           1095              NA              NA              NA              NA              NA  .008268174    .043400649   .852583821050                 NA     .8005180000000  .3448844211              NA             NA      1895    HaybourneDitch    acres=38.93    69    48    38.93
            115           1096             111               3              65              45            1947  .024333653    .044695329   .856977210530     .185217231580     .8514528736800  .0954338968  1.017284031600      APP-72815     1895    HaybourneDitch    acres=78.09    67    47    78.09
            115           1096             112               3              65              45            1928  .024333653    .044695329   .856977210530     .062808146316     .8514528736800  .0954338968  .4948948526300      APP-72817     1895    HaybourneDitch    acres=78.09    67    47    78.09
            115           1096             113               3              65              45            1928  .024333653    .044695329   .856977210530     .175508473680     .8514528736800  .0954338968  .2826241473700      APP-72816     1895    HaybourneDitch    acres=78.09    67    47    78.09
            117           1097             114               3              65              45            1947  .064630213    .033311789   .793506978950     .064521794737     .8783038000000  .2521559474  .5752940526300      APP-72815     1895    HaybourneDitch    acres=78.4    64    47    78.4
            117           1097             115               3              65              45            1928  .064630213    .033311789   .793506978950     .135635915790     .8783038000000  .2521559474  .3717390631600      APP-72817     1895    HaybourneDitch    acres=78.4    64    47    78.4
            117           1097             116               3              65              45            1928  .064630213    .033311789   .793506978950     .021685947368     .8783038000000  .2521559474  .1214372210500      APP-72816     1895    HaybourneDitch    acres=78.4    64    47    78.4
            119           1098             117               3              65              45            1962  .018818944    .032533608   .880848936840     1.40693410530     .8875692105300  .3094667895  .1266489894700      APP-20834     1895    HaybourneDitch    acres=78.66    62    47    78.66
            119           1098             118               3              62              48            1962  .018818944    .032533608   .880848936840     .017412707368     .8875692105300  .3094667895  .5197897368400      APP-65506     1895    HaybourneDitch    acres=78.66    62    47    78.66
            119           1098             119               3              65              45            1947  .018818944    .032533608   .880848936840     .209807526320     .8875692105300  .3094667895  .8936339263200      APP-72815     1895    HaybourneDitch    acres=78.66    62    47    78.66
            119           1098             120               3              65              45            1928  .018818944    .032533608   .880848936840     .062041540000     .8875692105300  .3094667895  .8210718000000      APP-72817     1895    HaybourneDitch    acres=78.66    62    47    78.66
            119           1098             121               3              65              45            1928  .018818944    .032533608   .880848936840     .025911416842     .8875692105300  .3094667895  .5148289052600      APP-72816     1895    HaybourneDitch    acres=78.66    62    47    78.66
            121           1099             122               3              65              45            1962  3.13028E-4    .003284849   .887061610530     1.53793505260     .8619894631600  .7539984211  .6532856631600      APP-20834     1895    HaybourneDitch    acres=79.35    64    42    79.35
            123           1100             123               3              65              45            1962  .021009864    .061313462   .764103021050     1.93838452630     .8962898210500  .2012100105  .0659104673680      APP-20834     1895    HaybourneDitch    acres=77.45    62    42    77.45
            125           1101             124               3              61              47            1968  .016756981    .024788683   .810420715790     .140537957890     .9655368736800  .0500301747  .1839748842100      APP-24696     1895    HaybourneDitch    acres=301.21    57    45    301.21
            125           1101             125               3              61              47            1968  .016756981    .024788683   .810420715790     .066204523158     .9655368736800  .0500301747  .5393856631600     APP-85189T     1895    HaybourneDitch    acres=301.21    57    45    301.21
            128           1102             126               3              58              45            1972  .109452857    .027058548   .835585000000     .083487413684     .9124064421100  .3175674105  .4073923263200      APP-26852     1895    HaybourneDitch    acres=118.33    55    42    118.33
            129            908             127               4             139              80            1961  .016286786    .019505827   .833606926320     .018768261053     .7867286842100  .8908085263  .2625184526300      APP-47104     1875    EastForkCarsonRiver    acres=8.9    145    77    8.9
            130            733              NA              NA              NA              NA              NA  .042604322    .037481489   .751401915790                 NA     .8509128105300  .3279208421              NA             NA      1859    EastForkCarsonRiver    acres=90.24    145    74    90.24
            131           1023              NA              NA              NA              NA              NA  .018046942    .033253465   .909105694740                 NA     .9805034421100  .6042539895              NA             NA      1883    EastForkCarsonRiver    acres=27.24    145    72    27.24
            132            983             128               4             134              77            1959  .159723768    .021129819   .890253063160     1.02131369470     .9594839894700  .3556288105  .2374074421100      APP-18095     1879    EastForkCarsonRiver    acres=85.1    133    71    85.1
            133            682              NA              NA              NA              NA              NA  .009747418    .022406007   .768854084210                 NA     .9838132947400  .2463645158              NA             NA      1857    EastForkCarsonRiver    acres=94.07    139    73    94.07
