obsnme,head,date,time
ob_143_9,5295.1140799999985,1993-12-23,00:00:00
ob_143_10,5274.93408,1994-12-13,00:00:00
ob_143_11,5278.734079999998,1995-03-15,00:00:00
ob_143_12,5278.33408,1995-09-19,00:00:00
ob_143_13,5284.83408,1995-12-05,00:00:00
ob_143_14,5289.0340799999985,1996-03-07,00:00:00
ob_143_15,5296.63408,1996-06-12,00:00:00
ob_143_16,5279.734079999998,1996-09-10,00:00:00
ob_143_17,5284.234079999998,1996-12-10,00:00:00
ob_149_2,4841.44963,1985-11-20,00:00:00
ob_149_3,4839.46963,1986-02-07,00:00:00
ob_149_4,4839.89963,1986-05-15,00:00:00
ob_149_5,4827.35963,2009-03-18,00:00:00
ob_149_6,4825.93963,2015-02-12,00:00:00
ob_149_7,4824.26963,2015-07-29,00:00:00
ob_150_1,4832.86963,1997-09-30,00:00:00
ob_150_2,4833.76963,2000-11-27,00:00:00
ob_152_1,4750.28982,1981-03-14,00:00:00
ob_152_2,4750.199820000002,1981-03-27,00:00:00
ob_152_3,4751.16982,1981-04-22,00:00:00
ob_152_4,4755.37982,1981-05-22,00:00:00
ob_152_5,4757.86982,1981-06-18,00:00:00
ob_152_6,4748.34982,1981-10-19,00:00:00
ob_152_7,4750.13982,1981-11-19,00:00:00
ob_152_8,4749.34982,1981-12-16,00:00:00
ob_152_9,4748.71982,1982-01-24,00:00:00
ob_152_10,4748.79982,1982-02-18,00:00:00
ob_152_11,4748.51982,1982-03-18,00:00:00
ob_152_12,4747.88982,1982-04-20,00:00:00
ob_152_13,4754.439820000001,1982-10-20,00:00:00
ob_152_14,4750.16982,1983-02-24,00:00:00
ob_152_15,4752.61982,1985-05-15,00:00:00
ob_152_16,4749.699820000002,1985-12-11,00:00:00
ob_152_17,4750.21982,1986-03-11,00:00:00
ob_152_18,4748.37982,1987-12-08,00:00:00
ob_152_19,4748.25982,1988-03-08,00:00:00
ob_152_20,4757.34982,1988-06-06,00:00:00
ob_152_21,4747.84982,1989-09-14,00:00:00
ob_152_22,4748.29982,1990-03-20,00:00:00
